epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0799,1.62141,3.47079,1.61665,0.00379,1,0.567,0.37175,0.81962,3.78956,1.05125,0.00011432,0.00011432,0.00011432
2,108.853,1.45287,2.53088,1.39842,0.00341,1,0.73121,0.48035,0.95156,3.70476,1.09714,0.00023812,0.00023812,0.00023812
3,173.671,1.28953,2.11791,1.29978,0.00336,1,0.71417,0.42349,1.15274,3.93883,1.1884,0.000356827,0.000356827,0.000356827
4,236.78,1.22686,1.73216,1.2495,0.00339,1,0.84233,0.48653,1.23676,3.80624,1.2538,0.000470441,0.000470441,0.000470441
5,300.614,1.27548,1.65884,1.31278,0.81297,0.66667,0.995,0.62409,1.37551,3.47083,1.31814,0.000578962,0.000578962,0.000578962
6,373.839,1.2609,1.68187,1.31091,0.8688,0.78885,0.94,0.50938,1.64417,3.29876,1.35177,0.00068239,0.00068239,0.00068239
7,435.12,1.19686,1.47095,1.25036,0.77087,0.82768,0.95833,0.49316,1.85164,3.26442,1.53793,0.000780726,0.000780726,0.000780726
8,491.314,1.21767,1.47219,1.26559,0.79054,0.68147,0.94548,0.48318,1.6701,3.08579,1.54851,0.000873968,0.000873968,0.000873968
9,557.228,1.18206,1.35157,1.20724,0.59462,0.38889,0.32097,0.16975,1.80942,4.81975,1.95414,0.000962117,0.000962117,0.000962117
10,621.467,1.17066,1.40358,1.22973,0.77282,0.66667,0.58372,0.27307,2.05854,4.08009,1.96671,0.00104517,0.00104517,0.00104517
11,679.158,1.24043,1.3878,1.24898,0.71407,0.97798,0.9675,0.508,1.6794,2.45917,1.56628,0.00112314,0.00112314,0.00112314
12,735.153,1.2334,1.38431,1.25779,0.98635,1,0.995,0.5834,1.49601,2.01879,1.40834,0.00111776,0.00111776,0.00111776
13,793.79,1.14052,1.27144,1.20544,0.91397,0.91055,0.995,0.69766,1.32585,1.96218,1.25711,0.00108947,0.00108947,0.00108947
14,853.798,1.19163,1.20984,1.22751,0.92678,1,0.995,0.68637,1.1806,1.78937,1.29145,0.00106118,0.00106118,0.00106118
15,914.132,1.03356,1.18591,1.12905,0.90061,0.97704,0.995,0.67254,1.20561,1.98567,1.311,0.00103288,0.00103288,0.00103288
16,977.889,1.10019,1.13127,1.18847,0.89768,0.96802,0.995,0.56133,1.5272,2.07199,1.48328,0.00100459,0.00100459,0.00100459
17,1044.16,1.07423,1.11473,1.18237,0.96273,1,0.995,0.57618,1.48927,1.71767,1.36797,0.000976293,0.000976293,0.000976293
18,1104.74,1.18199,1.16376,1.16948,0.9382,1,0.995,0.6691,1.19271,1.6596,1.2503,0.000947999,0.000947999,0.000947999
19,1160.41,1.17803,1.09887,1.20247,0.74958,0.95634,0.995,0.63952,1.35089,1.87723,1.56642,0.000919704,0.000919704,0.000919704
20,1215.41,1.18136,1.11479,1.19048,0.88309,0.88185,0.995,0.63087,1.40625,1.68716,1.36977,0.00089141,0.00089141,0.00089141
21,1270.54,1.10259,1.13506,1.15205,0.94264,0.99038,0.995,0.69617,1.21973,1.63011,1.29449,0.000863116,0.000863116,0.000863116
22,1321.69,1.07342,1.07945,1.14999,0.9655,1,0.995,0.6362,1.26096,1.54123,1.30643,0.000834822,0.000834822,0.000834822
23,1383.06,1.08651,1.07867,1.13223,0.96093,0.99637,0.995,0.58034,1.4074,1.32915,1.38618,0.000806528,0.000806528,0.000806528
24,1440.84,1.01456,1.03815,1.10104,0.98283,1,0.995,0.71443,1.11946,1.19683,1.22339,0.000778233,0.000778233,0.000778233
25,1496.72,0.96534,0.92252,1.10451,0.97658,1,0.995,0.69407,1.2575,1.11916,1.26169,0.000749939,0.000749939,0.000749939
26,1551.7,1.03115,0.97369,1.12315,0.95711,1,0.995,0.66645,1.18851,1.17606,1.21996,0.000721645,0.000721645,0.000721645
27,1603.75,0.97683,0.96778,1.09398,0.7841,0.93136,0.98738,0.70389,1.19856,1.46181,1.24866,0.000693351,0.000693351,0.000693351
28,1654.37,0.96692,0.92282,1.10253,0.94911,0.97329,0.995,0.64407,1.27075,1.22263,1.28689,0.000665057,0.000665057,0.000665057
29,1705.85,0.9733,0.91885,1.11493,0.97801,1,0.995,0.70383,1.10145,1.15719,1.27229,0.000636762,0.000636762,0.000636762
30,1756.69,0.91791,0.89678,1.0951,0.94303,1,0.995,0.65916,1.2495,1.19608,1.34196,0.000608468,0.000608468,0.000608468
31,1807.61,0.86729,0.84417,1.05486,0.86705,0.99627,0.995,0.63521,1.20625,1.3307,1.35714,0.000580174,0.000580174,0.000580174
32,1859.29,0.87213,0.86169,1.06904,0.91723,0.98889,0.995,0.72735,1.00718,1.16163,1.24209,0.00055188,0.00055188,0.00055188
33,1920.23,0.862,0.83163,1.07887,0.9596,1,0.995,0.74275,1.03435,1.08069,1.21872,0.000523586,0.000523586,0.000523586
34,1980.01,0.82949,0.83142,1.03963,0.9703,1,0.995,0.72892,1.04957,1.11781,1.22652,0.000495291,0.000495291,0.000495291
35,2039.21,0.82074,0.81183,1.04686,0.97367,1,0.995,0.64996,1.16563,1.01202,1.24657,0.000466997,0.000466997,0.000466997
36,2100.75,0.8761,0.79566,1.05777,0.98477,1,0.995,0.70343,1.06198,1.04508,1.24691,0.000438703,0.000438703,0.000438703
37,2160,0.77923,0.75538,1.02948,0.98327,1,0.995,0.67475,1.16476,1.11786,1.29433,0.000410409,0.000410409,0.000410409
38,2213.93,0.84707,0.77377,1.05347,0.98681,1,0.995,0.61222,1.41122,1.13441,1.38682,0.000382115,0.000382115,0.000382115
39,2264.68,0.82251,0.75491,1.03763,0.98654,1,0.995,0.62251,1.38166,1.13732,1.36819,0.00035382,0.00035382,0.00035382
40,2316.67,0.77264,0.73627,1.02052,0.97847,1,0.995,0.68066,1.11152,1.1291,1.28008,0.000325526,0.000325526,0.000325526
41,2367.94,0.68353,0.84139,0.95891,0.97699,1,0.995,0.68169,1.16804,1.12315,1.28798,0.000297232,0.000297232,0.000297232
42,2418.46,0.65816,0.81379,0.94508,0.96882,1,0.995,0.67149,1.16334,1.12217,1.27813,0.000268938,0.000268938,0.000268938
43,2469.59,0.64926,0.81708,0.92026,0.96586,1,0.995,0.68928,1.16239,1.14777,1.31288,0.000240644,0.000240644,0.000240644
44,2526.37,0.62509,0.81034,0.92191,0.97794,1,0.995,0.66045,1.17362,1.07666,1.28696,0.000212349,0.000212349,0.000212349
45,2584.65,0.63738,0.76948,0.94182,0.97919,1,0.995,0.6358,1.25012,1.09777,1.30801,0.000184055,0.000184055,0.000184055
46,2643.78,0.59846,0.7464,0.92371,0.97227,1,0.995,0.70293,1.15145,1.08752,1.27122,0.000155761,0.000155761,0.000155761
