epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.905,1.55812,2.61647,1.71309,0.91202,0.73839,0.89525,0.5019,1.48611,2.45007,1.63863,0.000471211,0.000471211,0.000471211
2,5274.44,1.4798,1.91054,1.62249,0.84901,0.81842,0.92112,0.37668,1.6808,2.43632,1.93767,0.000916276,0.000916276,0.000916276
3,5857.75,1.49133,1.66715,1.60376,0.73576,0.77523,0.76266,0.38993,1.45411,2.15993,1.63806,0.0013299,0.0013299,0.0013299
4,6454.5,1.45812,1.48058,1.56731,0.86458,0.94719,0.9656,0.54045,1.38421,1.23653,1.55616,0.00128753,0.00128753,0.00128753
5,7058.1,1.45605,1.34666,1.58242,0.96329,0.87286,0.9547,0.48863,1.59308,1.15209,1.73938,0.00124037,0.00124037,0.00124037
6,7727.65,1.39772,1.19417,1.52723,0.97895,0.98979,0.99311,0.58131,1.45205,0.90338,1.63009,0.00119322,0.00119322,0.00119322
7,8343.1,1.37924,1.13144,1.51001,0.95376,0.90475,0.96183,0.63257,1.2894,0.88645,1.47564,0.00114606,0.00114606,0.00114606
8,8950.87,1.3585,1.10081,1.50427,0.97647,0.97845,0.99236,0.65217,1.31528,0.76947,1.53533,0.0010989,0.0010989,0.0010989
9,9704.88,1.30094,1.00741,1.46323,0.98305,0.98278,0.98748,0.57398,1.56058,0.84861,1.67567,0.00105174,0.00105174,0.00105174
10,10324.4,1.25033,0.95,1.41524,0.98718,1,0.99467,0.65985,1.28549,0.64033,1.4998,0.00100459,0.00100459,0.00100459
11,10972.6,1.22553,0.90237,1.40552,0.99165,0.98198,0.99317,0.69833,1.19857,0.64271,1.37176,0.00095743,0.00095743,0.00095743
12,11613.6,1.17757,0.85135,1.37758,0.99019,0.99324,0.99402,0.594,1.45095,0.6221,1.69957,0.000910273,0.000910273,0.000910273
13,12197.7,1.16202,0.80764,1.3641,0.99473,0.99901,0.995,0.62204,1.35842,0.60046,1.51642,0.000863116,0.000863116,0.000863116
14,12811.7,1.14215,0.79198,1.33703,0.98052,0.97055,0.98892,0.66995,1.12666,0.56231,1.34979,0.000815959,0.000815959,0.000815959
15,13417.6,1.09479,0.75476,1.31566,0.95244,0.95833,0.97438,0.50477,1.83064,0.70814,1.93199,0.000768802,0.000768802,0.000768802
16,14840.7,1.0694,0.72726,1.29757,0.96647,0.99146,0.99403,0.62317,1.21353,0.58273,1.45325,0.000721645,0.000721645,0.000721645
17,15427.6,1.08154,0.7431,1.30953,0.99417,0.99429,0.995,0.70854,1.13976,0.48583,1.33927,0.000674488,0.000674488,0.000674488
18,16038.5,1.06032,0.69638,1.29506,0.97292,0.97501,0.98574,0.60054,1.45194,0.58398,1.65416,0.000627331,0.000627331,0.000627331
19,17535.8,1.02709,0.68304,1.26414,0.98175,0.99885,0.99419,0.65509,1.3506,0.5645,1.53938,0.000580174,0.000580174,0.000580174
20,18148.7,1.00052,0.66073,1.25564,0.98752,0.99154,0.98823,0.66677,1.12959,0.50382,1.35036,0.000533017,0.000533017,0.000533017
21,18760,0.88069,0.47001,1.25329,0.98658,1,0.99495,0.67663,1.18479,0.52005,1.41237,0.00048586,0.00048586,0.00048586
22,73614.9,0.85189,0.43694,1.22961,0.95511,0.97585,0.97247,0.65537,1.30497,0.53251,1.52277,0.000438703,0.000438703,0.000438703
23,74200.7,0.81818,0.42897,1.21626,0.95826,0.95833,0.98505,0.67591,1.2363,0.51504,1.41162,0.000391546,0.000391546,0.000391546
24,74873,0.80325,0.41535,1.20674,0.97039,0.91338,0.93837,0.62444,1.47682,0.56362,1.68738,0.000344389,0.000344389,0.000344389
25,75598.7,0.73165,0.39038,1.13598,0.96659,0.95857,0.98074,0.66801,1.25911,0.48999,1.46693,0.000297232,0.000297232,0.000297232
26,76373.6,0.71959,0.38077,1.12526,0.99344,1,0.995,0.67527,1.21431,0.49569,1.41338,0.000250075,0.000250075,0.000250075
27,77060.1,0.6799,0.36579,1.09878,0.98112,0.98333,0.98802,0.69628,1.16572,0.51551,1.38351,0.000202918,0.000202918,0.000202918
28,77672.7,0.67027,0.36098,1.09306,0.99426,0.98333,0.9908,0.69171,1.05207,0.46105,1.32528,0.000155761,0.000155761,0.000155761
29,78298.1,0.62612,0.34237,1.06799,0.97175,0.975,0.98064,0.6614,1.25954,0.49634,1.49955,0.000108604,0.000108604,0.000108604
30,78914.4,0.62161,0.33667,1.06206,0.97264,0.975,0.98917,0.68167,1.16589,0.48408,1.41166,6.1447e-05,6.1447e-05,6.1447e-05
